DO_YOU_WANT_TO_REMOVE_ITEM	Vuoi rimuovere %s?
DO_YOU_WANT_TO_CLOSE_OFFLINE_SHOP	Vuoi chiudere il negozio? Ricorda di avere abbastanza spazio!
OFFLINE_SHOP	Negozio
OFFLINE_SHOP_CHANGE_TIME	Tempo del negozio cambiato.
OFFLINE_SHOP_CHANGE_TIME2	Il negozio non scadra' piu'.
OFFLINE_SHOP_SELECT_TIME	Hai scelto il nuovo tempo. (%d)
OFFLINE_SHOP_SELECT_TIME2	Hai scelto un tempo infinito.
OFFLINE_SHOP_WARNING1	Modalita' acquisto rapido attiva.
OFFLINE_SHOP_WARNING2	Da questo momento puoi comprare con un click.
OFFLINE_SHOP	Negozio di 
OFFLINE_SHOP_CANNOT_SELL_ITEM	Non puoi vendere item con il negozio aperto.
PRIVATE_SHOP_CANNOT_SELL_ITEM	Non puoi vendere questo item nel negozio privato.
PRIVATE_SHOP_CLOSE_QUESTION	Vuoi chiudere il negozio privato?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome del negozio privato.
OFFLINE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome del negozio privato.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo
OFFLINE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo
ACCE_REFINE_COST	Costo dell'assorbimento: %d
ACCE_ABSORB_CHANCE	Tasso di assorbimento: %d%%
ACCE_ABSORB_CHANCE2	Tasso di assorbimento: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Vuoi rimuovere tutti i bonus dalla stola?
ACCE_FAILURE_CLEAN	Nessun bonus puo' essere rimosso.
ACCE_DEL_SERVEITEM	Se la fusione fallisce, la stola 2 verrà distrutta.
ACCE_DEL_ABSORDITEM	Assorbire e distruggere l'oggetto?
AFF_LOVE_POINT	Punto amore: %d%%
ALIGNMENT_NAME	Punti Karma:
ATTACK_ERROR_UNKNOWN	Errore d'attacco sconosciuto: %s
ATTENDANCE_REWARD_QUESTION	Vuoi ricevere la tua ricompensa?
AUTO_TOOLTIP_LINE1	Abilità: scegli delle abilità per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE2	Suggerimento: sotto ogni abilità puoi modificare l'intervallo di attivazione (espresso in secondi).
AUTO_TOOLTIP_LINE3	Abilità: scegli delle pozioni per la battaglia e trascinale negli spazi. (Premium)
AUTO_TOOLTIP_LINE4	Suggerimento: le pozioni HP e MP si attivano quando si supera il valore in % espresso sotto la pozione.
AUTO_TOOLTIP_LINE5	Suggerimento: la durata delle altre pozioni è espressa in secondi.
AUTO_TOOLTIP_TITLE	Aiuto Autocaccia
BATTLE_POINT	Punti battaglia
CANNOT_ATTACK_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_ATTACK_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_EQUIP_IN_EXCHANGE	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_EQUIP_IN_SHOP	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Non puoi aprire il tuo negozio privato in un luogo pubblico.
CANNOT_SHOOT_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SHOOT_EMPTY_ARROW	Mi serve una freccia.
CANNOT_SHOOT_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_SKILL_APPROACH	Sono sicuro di non riuscire ad arrivarci da più vicino.
CANNOT_SKILL_ATTACK	Non lo posso attaccare.
CANNOT_SKILL_BLUE	Se l'Anima del lupo purpureo è attiva, non puoi usare l'Anima del lupo indaco.
CANNOT_SKILL_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SKILL_EQUIP_FISHING_ROD	Mi serve una canna da pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Per utilizzarlo mi serve un cavallo.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Non ho una bottiglia vuota.
CANNOT_SKILL_NEED_POISON_BOTTLE	Non ho una bottiglia di veleno.
CANNOT_SKILL_NEED_TARGET	Chi è il bersaglio?
CANNOT_SKILL_NOT_ENOUGH_HP	Non ho abbastanza HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Non ho abbastanza MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Non lo posso utilizzare mentre cavalco.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Non posso utilizzare questa abilità con quest`arma.
CANNOT_SKILL_NOT_YET_LEARN	Non ho imparato quest`abilità.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ha effetto solo sui membri del gruppo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ha effetto solo sui morti.
CANNOT_SKILL_RED	Se l'Anima del lupo indaco è attiva, non puoi usare l'Anima del lupo purpureo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Non posso utilizzare questa abilità con la mia canna da pesca.
CANNOT_SKILL_SELF_IN_SAFE	Da qui non posso attaccare.
CANNOT_SKILL_USE_SELF	Non posso usarlo su me stesso.
