OFFLINE_SHOP_TITLE	Apri negozio offline
ACCEPT	OK
ACCE_ABSORB	Assorbimento dei bonus
ACCE_COMBINE	Fusione
ACCE_MAIN	Stola 1
ACCE_RESULT	Risultato
ACCE_SERVE	Stola 2
ATTACH_METIN_INFO	Vuoi utilizzare la Pietra Spirituale?
ATTACH_METIN_TITLE	Utilizza la Pietra Spirituale
ATTENDANCE_TITLE	Evento dei Cacciatori di boss
AUTO_AUTO_ATTACK	Attacca
AUTO_AUTO_POSITION	Pozioni
AUTO_AUTO_RANGE	Focus
AUTO_AUTO_SKILL	Abilità
AUTO_CLEAR	Svuota
AUTO_END	Stop
AUTO_OFF	Off
AUTO_ON	On
AUTO_POSITION_SETTING	Pozioni
AUTO_SETTING	Impostazioni
AUTO_SKILL_SETTING	Abilità
AUTO_START	Start
AUTO_TITLE	Autocaccia
BANNER_ATTENDANCE_BUTTON	Evento dei Cacciatori di boss
BANNER_MONSTERBACK_BUTTON	Incassa punti vita
BANNER_OKEY_BUTTON	Evento Okey
BATTLE_FIELD_INFO	Zona di combattimento
BATTLE_FIELD_OPERATION_TIME	È possibile entrare nella zona di combattimento dalle ore %s:00 alle ore %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	È possibile accedere in qualsiasi momento.
BATTLE_FIELD_OPERATION_TIME_END	Zona di Combattimento aperta ancora per %s ora/e.
BATTLE_FIELD_OPERATION_TIME_NA	Attualmente non è possibile accedere.
BATTLE_FIELD_OPERATION_TIME_OPEN	È possibile accedere tra %s h per %s h.
BATTLE_FILED_RANK	Rango
BATTLE_FILED_RANK_EMPIRE	Regno
BATTLE_FILED_RANK_NAME	Nome
BATTLE_FILED_RANK_POINT	Punti
CANCEL	Interrompi
CHANGE_PASSWORD_CONFIRM	Conferma nuova pass
CHANGE_PASSWORD_NEW	Nuova password
CHANGE_PASSWORD_OLD	Vecchia password
CHANGE_PASSWORD_TITLE	Modifica password
CHARACTER_ACTION	Azioni
CHARACTER_EMOTICON	Emozioni
CHARACTER_MAIN	Personaggio
CHARACTER_MUTUAL_ACTION	Azioni interattive
CHARACTER_NORMAL_ACTION	Azioni normali
CHARACTER_QUEST	Missioni
CHARACTER_SKILL	Abilità
CHAT_FILTER	Filtro della chat
CHAT_FILTER_DICE	Dado
CLOSE	Chiudi
COMB_APPEARANCE	Costume 1
COMB_ATTRIBUTE	Costume 2
COMB_SKILLBOOK_TILE	Scambia libri
COMB_TITLE	
COSTUME_TITLE	Costumi
COSTUME_WINDOW_TITLE	Costumi
CREATE_ATT_GRADE	STR
CREATE_CREATE	Imposta
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punti
CREATE_MAN	Uomo
CREATE_NAME	Nome
CREATE_NEXT	Avanti
CREATE_PREV	Indietro
CREATE_SEX	Sesso
CREATE_SHAPE	Aspetto
CREATE_SP	INT
CREATE_STAT_RESET	Indietro
CREATE_WOMAN	Donna
CUBE_INFO_TITLE	Manuale della rifinitura
CUBE_REQUIRE_MATERIAL	Materiali necessari
CUBE_REQUIRE_MATERIAL_OR	oppure
CUBE_TITLE	Finestra del raffinamento
CURRENT_POINT	Punteggio attuale: %s
DO_REFINE	Raffinamento
DRAGONSOUL_ACTIVATE	Attiva
DRAGONSOUL_PAGE_BUTTON_1	Grezzo
DRAGONSOUL_PAGE_BUTTON_2	Tagliato
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antico
DRAGONSOUL_PAGE_BUTTON_5	Leggendario
DRAGONSOUL_REFINE_WINDOW_TITLE	Finestra del raffinamento
DRAGONSOUL_TAP_TITLE_1	Diamante del drago
DRAGONSOUL_TAP_TITLE_2	Rubino del drago
DRAGONSOUL_TAP_TITLE_3	Giada del drago
DRAGONSOUL_TAP_TITLE_4	Zaffiro del drago
DRAGONSOUL_TAP_TITLE_5	Granato del drago
DRAGONSOUL_TAP_TITLE_6	Onice del drago
DRAGONSOUL_TITLE	Alchimia delle Pietre del drago
EMPIRE_EXIT	Fine
EMPIRE_NEXT	Avanti
EMPIRE_PREV	Indietro
EMPIRE_SELECT	Scegli
ENTER_BATTLE_FIELD	Entra
EXCHANGE_ACCEPT	Accetta
EXCHANGE_TITLE	Commercio
